Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
1010 Printing Group Limited (SEHK:1127),IQ136804909,2006,,,,,,,,,,,,,
361 Degrees International Limited (SEHK:1361),IQ60184932,2006,,,,,,2.33,7.25,3.82,53.3,8.51,14.2,0.451,0
3Cnergy Limited (Catalist:502),IQ79611391,2006,50.2,12.6,4.76,3.56,3.51,,,,,,,,
3SBio Inc. (SEHK:1530),IQ24164591,2006,64.5,14,11.7,11.4,8.35,4.98,4.98,8.47,28,8.61,14.5,0.525,0
800 Super Holdings Limited (Catalist:5TG),IQ137292017,2006,19.1,3.45,4.24,2.22,1.28,,,,,,,,
8Telecom International Holdings Co. Ltd. (SGX:AZG),IQ10902975,2006,,,,,,22.7,22.7,23.2,103.9,12.8,51.1,11.3,0.007
A-Sonic Aerospace Limited (SGX:AWQ),IQ8292720,2006,135.4,53.1,11.6,8.16,4.04,32.3,35.6,5.64,190.7,34.2,96,0.201,0.011
A8 New Media Group Limited (SEHK:800),IQ45043531,2006,33.8,2.43,-5.52,-5.64,-2.27,24.2,24.2,1.88,45.3,0,37.9,0.662,0
AA Group Holdings Ltd. (Catalist:5GZ),IQ23019599,2006,32.2,9.86,3.81,1.46,0.877,1.67,1.68,17,30.9,11.7,15.5,2.67,0.01
AAC Technologies Holdings Inc. (SEHK:2018),IQ23246399,2006,,,,,,194.2,194.2,121.5,499.3,4.16,417.3,71.3,0
AAG Energy Holdings Limited (SEHK:2686),IQ290858658,2006,38.9,12.4,6.98,6.87,6.13,,,,,,,,
ABC Communications (Holdings) Limited (SEHK:30),IQ878339,2006,188,100.4,11.3,1.73,-2.65,19,20.9,0.542,82.7,14.8,66.2,0.116,0.012
abc Multiactive Limited (SEHK:8131),IQ7602691,2006,12.8,8.91,3,-1.03,-22.8,0.61,0.61,0.141,1.25,5.52,-5.89,0.113,0
ABF Hong Kong Bond Index Fund (SEHK:2819),IQ100846081,2006,348.3,24.7,14.4,11.5,7.23,,,,,,,,
ABF Pan Asia Bond Index Fund (SEHK:2821),IQ33833176,2006,24,8.65,3.08,2.86,3.62,4.06,4.06,0,1937.3,0,1896.3,0,6.7
ABF Singapore Bond Index Fund (SGX:A35),IQ59448492,2006,66.6,17.1,11.2,9.15,6.19,,,,,,,,
ABR Holdings Limited (SGX:533),IQ4492730,2006,38.4,8.35,-0.84,-1.88,-0.491,7.41,25.2,27.1,88.3,11.4,51.2,3.61,0.01
Abterra Ltd. (SGX:L5I),IQ8081418,2006,25.6,7.35,-0.011,-0.359,-0.769,2,2.07,1.55,5.34,0.988,0.979,0.106,0
Abundance International Limited (Catalist:541),IQ7646669,2006,73.1,6.21,8.52,6.52,5.44,0.172,0.285,21,39,13.5,17.7,1.88,0.003
Accordia Golf Trust (SGX:ADQU),IQ267094243,2006,237.2,108.7,29.9,20.9,16.6,,,,,,,,
Ace Achieve Infocom Limited (SGX:A75),IQ12532816,2006,,,,,,5.29,6.12,0.629,55.4,3.21,36.1,0.389,0.005
Acma Ltd. (SGX:AYV),IQ874288,2006,41.4,6.54,2.56,1.9,1.07,11.6,14,42.9,205.3,136.1,15.1,4.85,0
AcrossAsia Limited (SEHK:8061),IQ2446007,2006,,,,,,265.9,354,272.3,1434.6,701.6,443.4,131.1,0
Active Group Holdings Limited (SEHK:1096),IQ140170062,2006,147.4,54.5,13.7,4.51,0.322,,,,,,,,
Addchance Holdings Limited (SEHK:3344),IQ24046779,2006,,,,,,12.9,18.2,77.8,193.9,59.7,103.6,17.1,0.007
Addvalue Technologies Ltd (SGX:A31),IQ2904320,2006,79.8,43.1,19.9,14.2,19,2.21,2.28,0.378,13.6,2.31,2.09,0.052,0
Advance SCT Limited (SGX:5FH),IQ12617492,2006,5.13,2.79,-1.68,-2.15,1.74,16.2,16.9,34.8,137.6,61.2,62.1,10.1,0.012
Advanced Card Systems Holdings Ltd. (SEHK:2086),IQ10930325,2006,,,,,,1.03,1.04,0.381,7.38,0,6.49,0.148,0
Advanced Holdings Ltd. (SGX:5IA),IQ11756033,2006,62.9,12.7,5.25,3.85,2.93,3.47,27.4,1.19,40.2,0.38,31.7,0.048,0.006
Advanced Integrated Manufacturing Corp. Ltd. (SGX:AXH),IQ22354866,2006,0,0,0,0,0.014,3.58,3.86,12.9,79,10.7,50.3,3.02,0.034
Advanced Semiconductor Manufacturing Corporation Limited (SEHK:3355),IQ5843997,2006,65.5,10.7,3.6,2.79,6.97,78,78.5,381.7,561.4,145.7,356.4,41.1,0
Advanced Systems Automation Limited (Catalist:5TY),IQ2491510,2006,31.3,31.3,16.4,16.2,13.5,2.07,2.07,9.48,35.4,21.1,-3.08,3.33,0
Adventus Holdings Limited (Catalist:5EF),IQ9950890,2006,0.032,0.011,-0.489,-0.504,-0.538,3.66,3.77,0.712,27.3,3.96,18.3,0.332,0
AEI Corporation Ltd. (SGX:AWG),IQ10930302,2006,,,,,,17.8,17.8,18.1,66.8,0.058,53.4,2.26,0.11
AEM Holdings Ltd. (SGX:AWX),IQ8086209,2006,,,,,,16.4,17.2,62.4,161.8,23.1,94.3,28.7,0.1
AEON Credit Service (Asia) Company Limited (SEHK:900),IQ881944,2006,227.2,173.6,154.4,154.1,132,15.2,18.5,20.5,931,612.2,277.9,11.4,0.038
Aeon Stores (Hong Kong) Co. Limited (SEHK:984),IQ878921,2006,107.8,46.7,49,45.4,32.5,303.9,303.9,60.1,484.6,11.8,156.7,20.6,0.045
Agile Property Holdings Limited (SEHK:3383),IQ24905100,2006,149,28.5,20.4,19.5,15.3,1020.1,1020.1,18.3,3433.6,1053.5,1450.2,8.45,0.022
Agricultural Bank of China Limited (SEHK:1288),IQ5463985,2006,39.7,11.9,11.4,10.2,9.98,7142.7,22315.6,14801.7,1053362.6,76437.1,16426.4,2008.7,0
Agritrade Resources Limited (SEHK:1131),IQ882133,2006,4.95,4.81,4.05,4.04,2.88,15.5,15.5,26.5,92.1,1.16,79,0.93,0
AGTech Holdings Ltd. (SEHK:8279),IQ20385972,2006,10.8,3.36,1.49,0.373,0.126,1.43,1.43,0.212,3.81,0,1.02,0.021,0
Ahsay Backup Software Development Company Limited (SEHK:8290),IQ312165083,2006,26.3,8.64,4.81,3.44,2.08,,,,,,,,
AIA Group Limited (SEHK:1299),IQ98900561,2006,,,,,,,,,,,,,
AID Partners Capital Holdings Limited (SEHK:8088),IQ7658262,2006,,,,,,39.3,242.6,66,328.7,40.8,257.9,65.5,0
AIMS AMP Capital Industrial REIT (SGX:O5RU),IQ33332526,2006,18,6.01,1.3,1.03,1.07,,,,,,,,
Aims Property Securities Fund (ASX:APW),IQ20383746,2006,56.9,9.2,4.35,4.01,3.3,0.821,0.821,0,201.6,49.6,140,0,0.112
Air China Limited (SEHK:753),IQ12436039,2006,197.7,29.2,32.4,21.9,23.1,1013.2,1013.2,10755.8,16590.5,7353.6,6232.6,1399.8,0.01
Ajisen China Holdings Ltd. (SEHK:538),IQ33191940,2006,149.8,77.5,9.78,7.18,6.18,21.1,21.1,32.7,90.5,33.9,33,14.5,0
AKM Industrial Co. Ltd. (SEHK:1639),IQ11520629,2006,416.4,80,34.5,23.4,12.8,11.1,11.1,14.4,51,6.67,36.6,2.63,0
Albedo Limited (Catalist:5IB),IQ26287299,2006,,,,,,0.558,0.558,6.79,29.9,6.97,15.5,4.34,0
Alco Holdings Limited (SEHK:328),IQ24544,2006,1.7,0.646,-7.8,-7.99,-4.31,214.2,214.2,66.7,539.5,66.9,296.9,14.4,0.046
Alibaba Health Information Technology Limited (SEHK:241),IQ4481114,2006,213.1,40.3,-1.06,-3.81,19.7,123.5,131.7,14.5,209.7,116.4,71.1,5.46,0
Alibaba Pictures Group Limited (SEHK:1060),IQ142011474,2006,282.1,45.4,23.9,21,13.3,,,,,,,,
Allan International Holdings Limited (SEHK:684),IQ4497464,2006,36.6,14.4,13,11.2,8.83,10.8,39.3,26.9,127.4,3.3,94.6,7.53,0.017
Alliance Mineral Assets Limited (Catalist:40F),IQ266871983,2006,,,,,,,,,,,,,
Allied Cement Holdings Limited (SEHK:1312),IQ59322382,2006,17.9,8.77,4.09,3.9,3.26,,,,,,,,
Allied Group Limited (SEHK:373),IQ875760,2006,239,50.1,27.4,22.9,20,348,422.4,77.8,3588.1,534.4,2647.4,8,0.099
Allied Properties (H.K.) Limited (SEHK:56),IQ877098,2006,62.6,13.8,2.44,1.87,0.937,287.1,358.8,72.1,4412.3,1144.5,2630.3,6.23,0.003
Allied Technologies Limited (SGX:A13),IQ12675846,2006,90.4,11.4,5.05,4.75,3.67,12.9,14.8,71.5,157.3,40.2,65.4,18.4,0
Alltronics Holdings Ltd. (SEHK:833),IQ22917525,2006,335.5,183.8,99.8,76.1,27.1,10.9,13,11.1,68.1,15.3,33.3,3.17,0.011
Alpha Energy Holdings Limited (Catalist:5TS),IQ142562391,2006,101.1,10.6,4.45,2.26,2.32,,,,,,,,
Aluminum Corporation Of China Limited (SEHK:2600),IQ1539526,2006,70.6,17.3,7.43,5.47,3.82,2549.7,2552.5,10020.5,16092.5,3989.6,9675.5,1301.8,0.06
Amara Holdings Limited (SGX:A34),IQ2491513,2006,77.1,59.9,16.8,15.7,11.9,7.7,9.79,151.5,464,256.4,143.3,21.4,0.005
Amax International Holdings Limited (SEHK:959),IQ882105,2006,58.9,22.6,14.7,14.3,11.2,0.984,0.984,13.1,540.5,165.6,370.2,1.08,0
Amber Energy Limited (SEHK:90),IQ60423886,2006,61.2,34.1,-32,-34.8,-36.3,16.6,16.6,192.4,237.5,134.2,68,35.2,0
AMCO United Holding Limited (SEHK:630),IQ4492881,2006,,,,,,2.83,2.83,19.6,109.1,38.9,54.7,0.377,0
Amplefield Limited (SGX:AOF),IQ7687702,2006,32.5,11.5,7.4,5.45,4.86,0.285,0.519,6.95,15.1,0.527,9.96,0.085,0
AMS Public Transport Holdings Limited (SEHK:77),IQ10917063,2006,10.2,8.73,7.71,7.36,5.17,7.15,7.15,3.66,52.1,6.67,42.6,0.73,0.017
AMVIG Holdings Limited (SEHK:2300),IQ9794129,2006,30.8,16.5,11,10.5,10.4,66.5,66.5,93.8,557,20.4,453.1,9.59,0.025
Anchun International Holdings Ltd. (SGX:MF5),IQ105911393,2006,294.6,146.9,61.7,46.5,50.7,,,,,,,,
Angang Steel Company Limited (SEHK:347),IQ5478359,2006,,,,,,290.7,290.7,7984.6,11466.2,3162.7,5915.9,2069.6,0.114
Anhui Conch Cement Co. Ltd. (SEHK:914),IQ5536230,2006,289.3,109.1,55.3,50.7,24.9,262.2,262.2,3364,4465.4,2087.2,1686,660.7,0.013
Anhui Expressway Co. Ltd. (SEHK:995),IQ5836723,2006,101.1,11.8,7.61,5.94,4.73,78.6,78.6,1313.6,1514.4,248.8,1072.6,119.9,0.049
Anhui Tianda Oil Pipe Company Limited (SEHK:839),IQ30177891,2006,123.6,68,15.8,7.25,3.48,16.9,85.7,67.2,227.5,24.7,164.5,24,0.006
AnnAik Limited (SGX:A52),IQ9284759,2006,2.92,1.98,1.42,1.28,1.04,10.3,10.4,17.7,94.3,47.7,37.7,3.08,0.007
Annica Holdings Limited (Catalist:5AL),IQ774122,2006,526.6,56.8,64,38.7,20.7,0,0,0,8.82,0,5.14,0.186,0
ANTA Sports Products Limited (SEHK:2020),IQ35196211,2006,88.8,48.2,46.4,46.2,41.6,34.6,40.9,46.6,168.2,9.82,46.7,16.2,0
Anton Oilfield Services Group (SEHK:3337),IQ33175419,2006,,,,,,9.06,9.06,14,99.4,23.8,60,8.15,0
Anxian Yuan China Holdings Limited (SEHK:922),IQ20413079,2006,,,,,,0.253,0.253,0,1.93,0.208,-1.6,0,0
AP Oil International Limited (SGX:5AU),IQ7657693,2006,138.9,36.4,35,31.4,26.5,9.95,9.95,3.03,25.3,2.96,17,1.56,0
APAC Resources Limited (SEHK:1104),IQ883042,2006,,,,,,2.42,47.2,0,55.1,27.9,25.6,0,0
Applied Development Holdings Limited. (SEHK:519),IQ2459588,2006,89.5,28.6,23,22.1,14.8,7.71,7.71,77.2,101.7,9.81,89.6,0,0
APT Satellite Holdings Ltd. (SEHK:1045),IQ354251,2006,45.2,39.2,0,35.1,41.1,67.3,72.8,539.8,672.2,185,391,1.4,0
ARA Asset Management Limited (SGX:D1R),IQ22521369,2006,155.7,116.5,106.2,106,426.8,15.7,15.8,0.594,24.3,0.24,15.5,0.228,0
Ares Asia Limited (SEHK:645),IQ878200,2006,3749.3,1514.9,1106.6,1063.2,1012.7,33.1,35.3,12.4,102.2,0,74.3,0.722,0.008
Art Textile Technology International Co. Ltd. (SEHK:565),IQ8275151,2006,346,273.3,210.5,209.3,420.4,69.4,69.4,29.6,129,20.2,93.8,2.59,0.004
ArtGo Holdings Limited (SEHK:3313),IQ222990907,2006,,,,,,,,,,,,,
Artini China Company Ltd. (SEHK:789),IQ44299585,2006,16,1.94,-1.41,-3.86,-4.65,4.69,4.89,5.53,25.4,7.08,8.6,1.21,0
Artivision Technologies Ltd. (Catalist:5NK),IQ47371031,2006,18.6,4.07,-0.064,-1.47,-2.39,0.55,0.567,0.031,1.96,0.825,1.07,0.027,0
Arts Optical International Holdings Ltd. (SEHK:1120),IQ4481925,2006,48.3,40.4,0,38.9,267.1,13.6,14.8,69.1,199.8,0.121,148.8,30.7,0.028
Ascendas Hospitality Trust (SGX:Q1P),IQ213743912,2006,240.2,38.8,14,9.67,7.93,,,,,,,,
Ascendas India Trust (SGX:CY6U),IQ35673019,2006,43.7,34.7,17.1,16.9,14.9,,,,,,,,
Ascendas Real Estate Investment Trust (SGX:A17U),IQ8101236,2006,75.1,19.8,8.16,6.82,5.31,4.39,4.39,2761.3,2807.5,969.8,1708.4,2.71,0.117
Ascott Residence Trust (SGX:A68U),IQ26322140,2006,,,,,,36.3,36.3,995.6,1077.7,298.9,715,3.13,0
Asia Cassava Resources Holdings Limited (SEHK:841),IQ53347719,2006,48.4,7.29,2.82,0.401,0.404,5.05,5.92,1.7,77.2,48.7,6.49,0.116,0
Asia Cement (China) Holdings Corp. (SEHK:743),IQ44268599,2006,55.9,32.3,24.6,15.6,20.5,155.2,164,794.9,1175.1,429,684.6,299.2,0
Asia Coal Limited (SEHK:835),IQ7658681,2006,92.3,18.5,6.59,5.98,4.53,1.92,1.92,0.581,10.8,2.67,4.49,0.138,0
Asia Commercial Holdings Ltd. (SEHK:104),IQ877104,2006,106.1,37.1,35.6,34.6,29.3,24.4,24.4,5.08,64.3,14.9,35.4,0.929,0
Asia Energy Logistics Group Limited (SEHK:351),IQ8088619,2006,26.7,10.8,8.93,5.92,4.76,1.51,1.53,70.6,85.4,49.3,27.7,5.81,0
Asia Enterprises Holding Limited (SGX:A55),IQ23630325,2006,,,,,,20.3,20.4,9.52,108.1,1.41,88.3,0.044,0.018
Asia Fashion Holdings Limited (SGX:GH3),IQ47585742,2006,,,,,,2.41,2.41,15.4,25.5,1.54,17.1,3.31,0
Asia Financial Holdings Limited (SEHK:662),IQ876389,2006,113.3,34.6,21.7,15,-8.3,346,346,38,1345.2,0,1074.1,24.6,0.032
Asia Orient Holdings Limited (SEHK:214),IQ92843,2006,63.8,7.51,6.2,1.05,1.82,22,31.5,0.551,359.3,0,348.2,0.365,0
Asia Resources Holdings Ltd. (SEHK:899),IQ299751,2006,,,,,,12,12,35.9,132.2,32.4,92.6,1.85,0
Asia Satellite Telecommunications Holdings Limited (SEHK:1135),IQ352728,2006,103.9,23.7,15.7,12.6,5.9,390.5,394.6,519,1004.3,0,873.2,60.5,0.069
Asia Standard Hotel Group Limited (SEHK:292),IQ8086867,2006,2843,21.7,6.33,5.64,350.1,9.3,22.5,182.6,503.2,183.6,307.4,4.72,0.007
Asia Standard International Group Ltd. (SEHK:129),IQ881377,2006,29.8,10,9.79,9.07,8.19,72.5,91.3,465.3,1454.2,481.6,852.6,4.79,0.012
Asia Tele-Net & Technology Corp. Ltd. (SEHK:679),IQ4481080,2006,199.4,57,18,11.8,13.3,12.5,16.5,16.7,115.4,7.36,54.1,1.57,0
Asia-Pacific Strategic Investments Limited (Catalist:5RA),IQ36433856,2006,39,10.3,9.97,9.75,8.5,3.33,3.33,2.21,20.4,0.061,12.9,0.804,0
AsiaMedic Limited (Catalist:505),IQ7658303,2006,77.6,37.2,34,32.1,24.3,2.08,2.35,6.38,11.1,1.67,7.62,0.251,0
Asian Capital Holding Limited (SEHK:8295),IQ107597031,2006,,,,,,,,,,,,,
Asian Capital Resources (Holdings) Limited (SEHK:8025),IQ7658304,2006,64.8,19.6,19.9,17.8,12.7,1.23,1.23,0.293,7.56,4.07,-4.16,0.063,0
Asian Citrus Holdings Limited (AIM:ACHL),IQ23107460,2006,239.4,91.4,82.1,78.9,73.6,20.4,20.4,157.6,324,9.41,298.1,43.5,0.012
Asian Micro Holdings Limited (Catalist:585),IQ7729515,2006,195.5,62.6,49.6,41.7,34.3,2.02,4.68,8.65,24.2,6.16,13.1,2.07,0.002
Asian Pay Television Trust (SGX:S7OU),IQ115591,2006,199.3,57.6,58.7,53.4,39.9,,,,,,,,
AsiaPhos Limited (Catalist:5WV),IQ245218380,2006,17.4,2.61,1.57,0.521,0.129,,,,,,,,
Asiaray Media Group Limited (SEHK:1993),IQ268053991,2006,76.1,16.2,12,11.2,9.49,,,,,,,,
Asiatic Group (Holdings) Limited (Catalist:5CR),IQ7603678,2006,85.3,23,23.3,18.6,10.9,1.31,2.7,17.4,27.7,9.92,14.4,12.7,0.005
Asiatravel.com Holdings Ltd (Catalist:5AM),IQ7646622,2006,19.4,9.81,13.3,6.08,1.71,4.24,6.55,0.838,21.1,0.723,13.6,0.282,0.008
ASL Marine Holdings Ltd. (SGX:A04),IQ8292719,2006,61.5,5.39,2.41,-0.01,-0.428,28.6,29.4,161.4,315.2,79.2,121.7,96.1,0.013
ASM Pacific Technology Ltd. (SEHK:522),IQ877037,2006,99.6,20.8,20.2,19,17,180.4,180.4,169.4,687.8,1.43,505.4,41.2,0.335
Aspial Corporation Limited (SGX:A30),IQ7687514,2006,12.1,3.02,4.3,3.62,3,3.82,5.2,10.3,144.2,51.3,44.4,2.3,0.001
ASR Logistics Holdings Limited (SEHK:1803),IQ145398610,2006,85.9,20.9,14.4,14.2,45.2,,,,,,,,
Associated International Hotels Ltd. (SEHK:105),IQ878462,2006,116.3,47.2,42.1,41.9,29.5,102.8,102.8,935.4,1042.7,0.172,913.5,0.112,0
ASTI Holdings Limited (SGX:575),IQ2218359,2006,,,,,,55.5,57.2,49.6,316.1,110.7,109.3,13.2,0.011
Atlantic Navigation Holdings (Singapore) Limited (Catalist:5UL),IQ105732182,2006,254.5,135.6,129.3,116.7,51.1,,,,,,,,
Attilan Group Limited (SGX:5ET),IQ7652861,2006,364.5,125.6,118.1,113.6,100.1,4.12,7.89,0.011,18.4,2.85,2.24,0.015,0
Aupu Group Holding Company Limited (SEHK:477),IQ30397468,2006,135.5,24,20.3,19.9,14.5,59.1,59.1,6.9,89.7,0,73.6,1.25,0.005
Auric Pacific Group Limited (SGX:A23),IQ7687519,2006,93.2,23.2,16.8,14.6,12.4,18.3,67,16.3,490.6,128,295.7,30.5,0.05
Aurum Pacific (China) Group Limited (SEHK:8148),IQ9638331,2006,43.6,10.7,11.4,10.1,7.34,0.032,0.053,0,4.66,3.12,0.164,0,0
AusGroup Limited (SGX:5GJ),IQ22110973,2006,119.7,17,15.6,10.1,7.15,31,31,22.5,117.2,15,55.5,3.64,0
AusNet Services (ASX:AST),IQ24915054,2006,33.8,14.9,11.3,11.2,8.02,10.1,10.1,7073.4,7906.8,4052,3025.4,337.5,0.038
Ausnutria Dairy Corporation Ltd. (SEHK:1717),IQ67071349,2006,2.59,0.316,-1.67,-2.09,-2.24,4.21,4.21,0.439,9.87,1.53,-0.152,0.02,0
Austar Lifesciences Limited (SEHK:6118),IQ275034339,2006,11.7,3.83,0.292,-0.073,-0.194,,,,,,,,
Auto Italia Holdings Limited (SEHK:720),IQ5824743,2006,165.1,12.6,7.22,6.71,14.7,8.08,14.5,19.8,142.4,32.8,62.9,2.45,0
Automated Systems Holdings Limited (SEHK:771),IQ4509288,2006,,,,,,76.7,76.7,31.7,163.7,0,101.4,6.39,0.015
AUX International Holdings Limited (SEHK:2080),IQ252100579,2006,,,,,,,,,,,,,
AV Concept Holdings Limited (SEHK:595),IQ882171,2006,100.8,7.52,10.1,4.1,3.39,28.2,68.8,19.6,201.9,82.1,86.9,5.71,0.004
Avi-Tech Electronics Limited (SGX:CT1),IQ34703400,2006,21.5,21.6,22,17.3,430.1,1.91,9.57,17.1,41.1,8.06,23.1,2.26,0.017
AVIC International Holding (HK) Limited (SEHK:232),IQ2481329,2006,,,,,,22.1,46.6,38.4,218.7,33.1,123.2,7.77,0
AVIC International Holdings Limited (SEHK:161),IQ5686171,2006,,,,,,145.5,157.9,236.9,796.6,186.3,450.8,81.1,0.012
AVIC International Maritime Holdings Limited (SGX:O2I),IQ139748723,2006,23.7,11.4,2.35,0.274,-0.551,,,,,,,,
AVIC Joy Holdings (HK) Limited (SEHK:260),IQ877334,2006,2546.8,1406.2,618.2,511.8,351.7,11.7,14.9,34.6,114.4,16.6,87.5,16.9,0
AviChina Industry & Technology Company Limited (SHSC:2357),IQ9673988,2006,41.2,17.7,5.74,4.8,4.02,619.7,826.1,1777.2,4872.5,1665,1595.1,245.6,0
AVJennings Limited (ASX:AVJ),IQ4508903,2006,,,,,,0.126,0.126,7.73,686.9,207.1,299.3,1.23,0.087
Azeus Systems Holdings Ltd. (SGX:BBW),IQ12096876,2006,,,,,,12.5,12.5,0.292,27.6,0,24.9,0.154,0.102
Aztech Group Ltd. (SGX:AVZ),IQ878950,2006,62.1,11.1,2.47,1.93,6.65,29.2,29.2,28.5,150.2,20,80.9,3.57,0.1
Baguio Green Group Limited (SEHK:1397),IQ263488507,2006,,,,,,,,,,,,,
BAIC Motor Corporation Limited (SEHK:1958),IQ217267370,2006,28,10.1,4.57,1.8,1.29,,,,,,,,
BAIOO Family Interactive Limited (SEHK:2100),IQ260499178,2006,39,24.9,1.95,0.261,0.148,,,,,,,,
Baker Technology Limited (SGX:568),IQ7658309,2006,194.6,30.6,17.6,9.52,6.1,1.57,1.65,5.49,36.8,4.43,22.1,0.882,0
Bamboos Health Care Holdings Limited (SEHK:8216),IQ266845594,2006,2761.8,847.3,560.6,311.1,244.6,,,,,,,,
Ban Leong Technologies Limited (SGX:B26),IQ22498608,2006,66.8,28.2,-6.09,-9.06,-14.4,4.07,4.22,0.905,34.3,4.4,17.6,0.506,0.023
Bank of China Limited (SEHK:3988),IQ4803422,2006,,,,,,102111.8,135347.4,16928.8,1046297.4,55169.1,81100.4,1458.2,0.008
"Bank of Chongqing Co., Ltd. (SEHK:1963)",IQ22729339,2006,167.7,29.6,9.06,7,3.61,,,,,,,,
"Bank of Communications Co., Ltd. (SEHK:3328)",IQ5870494,2006,1215.5,377.6,305.2,243.5,205.4,36474.1,55279.1,5161.9,337689.2,10545.2,17772.3,639.8,0.018
Banyan Tree Holdings Limited (SGX:B58),IQ20727071,2006,55.9,15,9.03,8.56,6.08,81.5,84.6,558.5,911.3,233.5,511.6,123.9,0.018
Baofeng Modern International Holdings Company Limited (SEHK:1121),IQ118157690,2006,87,44.1,39.3,39.2,42.6,,,,,,,,
Baoxin Auto Group Limited (SEHK:1293),IQ143651710,2006,,,,,,,,,,,,,
Baoye Group Company Limited (SEHK:2355),IQ7942294,2006,8.96,1.24,-0.389,-1.67,-3.98,153.7,153.7,133,1133.4,240.1,429.9,28.4,0.014
Bauhaus International (Holdings) Limited (SEHK:483),IQ22226144,2006,1784.9,260.1,-134.4,-171.1,-187,29.1,29.1,6.8,67.8,0.734,60.6,3.1,0.011
BaWang International (Group) Holding Limited (SEHK:1338),IQ60295581,2006,,,,,,14,14,4.7,56.8,0,31.2,0.758,0
BBI Life Sciences Corporation (SEHK:1035),IQ265909236,2006,107.3,14.8,8.93,6.25,3.8,,,,,,,,
BBMG Corporation (SEHK:2009),IQ26722272,2006,334.5,109.7,46,43.2,29.1,294.1,358.5,562.5,3380,823,794.5,93.3,0.006
BBR Holdings (S) Ltd (SGX:KJ5),IQ4484581,2006,326.7,30.6,19.7,14,24.3,14.1,15.2,8.41,91.3,15.5,15.7,1.01,0
Beautiful China Holdings Company Limited (SEHK:706),IQ2491677,2006,7939,2410.1,527.9,358.7,323.4,18.2,18.2,9.83,73.4,9.24,42.3,0.126,0
Beijing Beida Jade Bird Universal Sci-Tech Company Limited (SEHK:8095),IQ8275233,2006,182.6,58.1,47,46.2,59.9,17.9,45.3,4.84,206.8,47.4,147.9,0.098,0
Beijing Capital International Airport Company Limited (SEHK:694),IQ5540849,2006,68.9,17,5.28,4.06,2.38,30,30,1613.1,2369.3,104.3,1931.2,95.6,0.025
Beijing Capital Juda Limited (SEHK:1329),IQ182614107,2006,60.2,40.1,13.6,5.81,6.02,,,,,,,,
Beijing Capital Land Ltd. (SEHK:2868),IQ6658225,2006,,,,,,728,728,303.3,3021.8,1152.5,916.3,15.1,0.012
"Beijing Chunlizhengda Medical Instruments Co., Ltd. (SEHK:1858)",IQ142427555,2006,,,,,,,,,,,,,
Beijing Development Hong Kong Ltd. (SEHK:154),IQ4497434,2006,5373,5373,0,0,2269,55.4,55.4,13.6,202.3,18.6,131.2,4.32,0
"Beijing Digital Telecom Co., Ltd. (SEHK:6188)",IQ28385605,2006,,,,,,,,,,,,,
Beijing Enterprises Clean Energy Group Limited (SEHK:1250),IQ241954700,2006,,,,,,,,,,,,,
Beijing Enterprises Holdings Ltd. (SEHK:392),IQ882569,2006,373.4,96.4,55.4,43.1,32.3,534.2,584.8,1515.3,3417.3,375.1,2576.1,299.9,0.059
Beijing Enterprises Medical and Health Industry Group Limited (SEHK:2389),IQ10290743,2006,843.3,154.9,158,132.8,131.2,3.44,7.59,26.8,59.7,28.4,15.6,2.78,0
Beijing Enterprises Water Group Limited (SEHK:371),IQ8288319,2006,59.7,11,7.85,5.7,5.57,6.54,6.91,0.02,6.95,0,6.8,0,0
Beijing Jingcheng Machinery Electric Company Limited (SEHK:187),IQ5722656,2006,542.9,41.8,9.96,4.97,-13.2,15,15,128.9,416.9,75.3,234.3,18,0
Beijing Jingkelong Co. Ltd. (SEHK:814),IQ5555726,2006,76.6,39.8,8,7.42,6.84,165.3,165.3,198.6,612.3,197.6,211,54.6,0.029
"Beijing Jingneng Clean Energy Co., Limited (SEHK:579)",IQ133696087,2006,221.9,72.7,63.7,60.9,56.4,,,,,,,,
Beijing Media Corporation Limited (SEHK:1000),IQ13192048,2006,,,,,,56.3,231.3,4.07,313,5.5,257.6,5.52,0.039
Beijing North Star Company Limited (SEHK:588),IQ5544877,2006,,,,,,965.8,965.8,163.4,3163.6,481,1783.4,0,0.008
Beijing Properties Holdings Limited (SEHK:925),IQ883423,2006,99.8,7.92,6.07,4.58,4.02,5.68,5.86,37.3,126.3,49.5,50.5,0,0
Beijing Tong Ren Tang Chinese Medicine Company Limited (SEHK:8138),IQ30429264,2006,,,,,,,,,,,,,
"Beijing Urban Construction Design & Development Group Co., Limited (SEHK:1599)",IQ266730104,2006,19.8,15.3,6.28,5.74,2.94,,,,,,,,
BeijingWest Industries International Limited (SEHK:2339),IQ9682092,2006,32.8,1.42,-3.65,-9.64,-11.9,214.3,214.3,149,643,211.1,409.2,15.4,0.077
Belle International Holdings Limited (SEHK:1880),IQ34072018,2006,18.8,10,6.53,5.57,3.55,59.3,59.3,113,873,160.9,517.3,74.8,0
Beng Kuang Marine Limited (SGX:BEZ),IQ12073904,2006,19.9,7.74,2.26,0.657,0.684,10.1,10.2,9.83,58.7,17.4,23,2.8,0.015
